"i","value"
915,2.068483665727359e-32
916,2.0858737346988903e-32
917,2.1060698279267841e-32
918,2.1283286698920268e-32
919,2.1521155222053458e-32
920,2.1772304255494483e-32
921,2.2035237277449103e-32
922,2.2304157908862665e-32
923,2.2573456202029711e-32
924,2.2835655917237303e-32
925,2.3079149490201614e-32
926,2.3293169807912623e-32
927,2.3473934838427369e-32
928,2.3624296033379805e-32
929,2.3748866127061866e-32
930,2.385333810367329e-32
931,2.3942422233271249e-32
932,2.4015016264180207e-32
933,2.4067787719867548e-32
934,2.4096613553029182e-32
935,2.4097024161382273e-32
936,2.4064214817839754e-32
937,2.399662153323496e-32
938,2.3900990406036109e-32
939,2.379053944456426e-32
940,2.3678280721008331e-32
941,2.3570790013448756e-32
942,2.3470351419151548e-32
943,2.337663199025918e-32
944,2.3292449434078865e-32
945,2.3225449105932048e-32
946,2.3182400771910599e-32
947,2.3165837977542634e-32
948,2.3179807738621119e-32
949,2.3223747655436564e-32
950,2.3291852778814461e-32
951,2.3373249910238383e-32
952,2.345887399917556e-32
953,2.3541305951801843e-32
954,2.3616602018743585e-32
955,2.3684743703203399e-32
956,2.375029642322194e-32
957,2.3822851918316906e-32
958,2.3906912086555084e-32
959,2.4004927634120634e-32
960,2.4118389040236565e-32
961,2.4246094485570838e-32
962,2.4382545700496715e-32
963,2.4526141225850188e-32
964,2.4679894378786735e-32
965,2.4848720694608113e-32
966,2.5039672210496615e-32
967,2.526254689397196e-32
968,2.5530124543200543e-32
969,2.5849071141013803e-32
970,2.6214884127670424e-32
971,2.6611824600179059e-32
972,2.7022339938163748e-32
973,2.7428540896368663e-32
974,2.7810515221162489e-32
975,2.8152895229669004e-32
976,2.8443206466316416e-32
977,2.8669139437868326e-32
978,2.8817775144772906e-32
979,2.8879588604223953e-32
980,2.8846624507982402e-32
981,2.8712807598039024e-32
982,2.8474781777931737e-32
983,2.8136152920958684e-32
984,2.7707948548179373e-32
985,2.7205581568334893e-32
986,2.6642421082030348e-32
987,2.6030610332601005e-32
988,2.5387145223948582e-32
989,2.4733892595576528e-32
990,2.4091263776902016e-32
991,2.347283562259186e-32
992,2.2890105602887081e-32
993,2.2355872913485745e-32
994,2.1882845331322862e-32
995,2.14801401646475e-32
996,2.1147357683844117e-32
997,2.0880371514538906e-32
998,2.0675433127232625e-32
999,2.0529749318446114e-32
1000,2.0441996251586975e-32
1001,2.0410671087331615e-32
1002,2.0433703825693269e-32
1003,2.0506057882080789e-32
1004,2.0619692124888539e-32
